Generation,MeanFitness,StdFitness,BestFitness,TimeTaken
1,1451.18,781.6110206490182,3906.0,213.71874070167542
2,1641.54,698.828282484331,3906.0,663.4889104366302
3,1535.1,654.1853636393893,3906.0,874.8226308822632
4,1526.76,693.15298628802,3906.0,1025.0539219379425
5,1469.1,692.2920843112393,3906.0,1021.4252755641937
6,1459.5,756.8424208512628,3906.0,527.7332620620728
7,1532.88,776.2902714835476,3906.0,940.7195365428925
8,1480.94,691.2746895409957,3906.0,811.9551558494568
9,1557.88,782.4927767078748,3906.0,775.246668100357
10,1603.2,644.4531945766115,3906.0,1031.3844602108002
11,1379.26,757.0839269195985,3906.0,464.1065933704376
12,1360.54,720.054864854061,3906.0,621.2865769863129
13,1617.92,625.7216582474991,3906.0,1124.3538565635681
14,1397.0,702.9518048913453,3906.0,1076.0848455429077
15,1312.84,701.0825446407862,3906.0,1061.5018367767334
16,1575.86,1051.9393330415971,6113.0,1230.1309959888458
17,1473.98,993.072555053255,6113.0,1303.3738148212433
18,1453.76,1018.9060714315132,6113.0,1211.246796131134
19,1569.88,950.1532853176901,6113.0,1522.738954782486
20,1379.18,980.8237291175209,6113.0,1246.666574716568
21,1418.84,972.371973269489,6113.0,1155.5034601688385
22,1371.5,952.8446515565903,6113.0,1351.754688501358
23,1373.98,965.401460326221,6113.0,1234.3145792484283
24,1439.72,986.4992253418144,6113.0,1302.3177037239075
25,1323.74,985.3218115925375,6113.0,1129.2653379440308
26,1473.5,986.6869665704519,6113.0,1263.5118527412415
27,1420.52,964.9137420515889,6113.0,1354.265317440033
28,1418.26,984.6845953908287,6113.0,1177.1318399906158
29,1378.46,975.0392240315258,6113.0,1263.6224060058594
30,1486.46,1003.839134722292,6113.0,1207.101155281067
31,1423.0,1020.2284254028605,6113.0,1051.2740998268127
32,1434.04,962.1407996753906,6113.0,1428.2316009998322
33,1394.16,964.5565480571889,6113.0,1060.60680270195
34,1474.34,933.2413966386188,6113.0,1346.6926815509796
35,1453.8,1001.940098009856,6113.0,1279.1416664123535
36,1496.58,927.1802433184176,6113.0,1386.8120703697205
37,1496.86,967.9788016273909,6113.0,1267.5393135547638
38,1489.92,962.3392507842543,6113.0,1251.75585770607
39,1513.9,925.6591651358507,6113.0,1004.3371772766113
40,1398.34,950.2527581649,6113.0,1119.8348560333252
41,1394.78,949.0868514524896,6113.0,1283.4430754184723
42,1401.6,946.5932178079452,6113.0,1234.042447566986
43,1296.52,1023.0433859812595,6113.0,1118.0642998218536
44,1465.74,934.2320656025461,6113.0,1014.9318294525146
45,1277.3,972.5725114355228,6113.0,1065.9627964496613
46,1398.4,977.570007723232,6113.0,1068.0406482219696
47,1363.52,999.526392648038,6113.0,886.0866513252258
48,1495.56,922.9538701365308,6113.0,1016.648330450058
49,1410.92,941.5929235078183,6113.0,900.9462270736694
50,1426.62,1040.9648580043422,6113.0,732.320277929306
